lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Ciudad Autónoma de Buenos Aires,Full-Time,780480.17,491575,Manager / Director,13,0,0,6,"Amazon Web Services, Docker, Linux, Serverless","Javascript, TypeScript","Angular, Node.js","Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, PostgreSQL","Jest, RSpec",Visual Studio Code,101-200,Otras industrias,33
GBA,Full-Time,78.35,62487,Developer,4,2,2,0,"Amazon Web Services, Windows Server","CSS, HTML, Javascript, PHP, SQL","Bootstrap, CodeIgniter, jQuery",MySQL,Ninguna de las anteriores,"Sublime Text, Visual Studio Code",501-1000,Otras industrias,38
Ciudad Autónoma de Buenos Aires,Full-Time,77173.2,63877,Developer,4,1,3,0,"Amazon Web Services, Linux, Windows Server","HTML, Javascript, PHP, SQL","Angular, WordPress","MariaDB, MySQL, Sybase",PHPUnit,PHPStorm,11-50,Servicios / Consultoría de Software / Digital,34
Mendoza,Full-Time,"76,685.08",64000,Developer,3,1.6,3,0,"Docker, Firebase","CSS, HTML, Javascript","Angular, Bootstrap, React.js",Oracle,Jest,"Visual Studio, Visual Studio Code",101-200,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,75138.18,61713.57,HelpDesk,15,10,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Otras industrias,40
,Full-Time,"75854,4",49216,Developer,12,10,8,0,"Windows Server, Genexus",Genexus,.NET Core,Microsoft SQL Server,SoapUI,"Notepad++, Visual Studio Code, Genexus",1001-2000,Otras industrias,32
Ciudad Autónoma de Buenos Aires,Full-Time,"74179,08",40324,Developer,2,2,2,0,"Docker, Firebase, Google Cloud Platform/App Engine, Linux, Windows Server","Bash/Shell, C#, CSS, HTML, Java, Javascript, SQL, TypeScript","Node.js, React.js","MongoDB, MySQL",Cypress,"Android Studio, Visual Studio Code",1-10,Servicios / Consultoría de Software / Digital,32
Provincia de Buenos Aires,Full-Time,"73814,69",102000,SysAdmin / DevOps / SRE,5,13,5,0,"Linux, VMWare","Bash/Shell, PHP",Ninguno de los anteriores,"MySQL, PostgreSQL",Ninguna de las anteriores,"Sublime Text, Vim",11-50,Producto basado en Software,36
Provincia de Buenos Aires,Full-Time,73354.14,60883.94,Developer,6,6,3,0,SAP,"ABAP, CSS, HTML, Javascript, SQL",SAP,"HANA, Oracle",Ninguna de las anteriores,SAP,501-1000,Servicios / Consultoría de Software / Digital,32
Neuquén,Full-Time,71203.11,57000,Developer,5,2,2,0,Ninguna de las anteriores,".NET, C#, TypeScript","Angular, Bootstrap",Oracle,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",1-10,Producto basado en Software,31
Ciudad Autónoma de Buenos Aires,Full-Time,"71,5",63000,Data Engineer,1,1,1,0,"Linux, Windows Server","Bash/Shell, Python, SQL","Hadoop, Spark","Apache Hive, ElasticSearch, MariaDB, MongoDB, MySQL, Teradata",Postman,Notepad++,101-200,Servicios / Consultoría de Software / Digital,29
Provincia de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),70902.21,56472,Consultant,2,2,1,0,"Amazon Web Services, Docker, Linux, OpenShift, Solaris, VMWare",Bash/Shell,Hibernate,"Amazon DynamoDB, Microsoft SQL Server, MongoDB, MySQL, Oracle",Postman,"Android Studio, Nano",10001+,Otras industrias,28
Ciudad Autónoma de Buenos Aires,Part-Time,70444.3,58468.7,Developer,0,0,0,0,Ninguna de las anteriores,Java,Akka,PostgreSQL,Ninguna de las anteriores,IntelliJ,501-1000,Servicios / Consultoría de Software / Digital,22
GBA,Full-Time,70000args,70000,Developer,1,0,1,0,"Amazon Web Services, Docker, Firebase, Linux, Serverless",Python,"Django, Node.js","PostgreSQL, Redis",Postman,Visual Studio Code,11-50,Otras industrias,19
