lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Ciudad Autónoma de Buenos Aires,Full-Time,106400,84000,Developer,6,1,1,0,Ninguna de las anteriores,"Java, Kotlin",Ninguno de los anteriores,Ninguna de las anteriores,"JUnit, Espresso, Mockito, PowerMockito",Android Studio,101-200,Servicios / Consultoría de Software / Digital,29
Tucumán,Full-Time,106350,83000,Infosec,20,20,15,0,"Azure, Linux, Windows Server","C++, Python, VBA",.NET Core,"MySQL, Oracle",Ninguna de las anteriores,"Android Studio, Visual Studio",201-500,Otras industrias,46
Ciudad Autónoma de Buenos Aires,Full-Time,106000,88,Architect,16,12,6,0,"Docker, Linux, OpenShift, OpenStack, SAP, VMWare, Windows Server","Assembler, Bash/Shell, COBOL",Ninguno de los anteriores,"ElasticSearch, Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, Sybase",Ninguna de las anteriores,Ninguno de los anteriores,2001-5000,Otras industrias,37
Chaco,Full-Time,106000,86000,QA / Tester,2.5,0,2.5,0,Firebase,"Java, Kotlin, Swift","Espresso, XCTest","MySQL, Oracle","Cucumber, Postman, Espresso,XCUITest,XCTest","Android Studio, Xcode",51-100,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,106000,81000,QA / Tester,3,3,3,0,"Linux, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,Ninguno de los anteriores,5001-10000,Producto basado en Software,34
Ciudad Autónoma de Buenos Aires,Part-Time,106000,88000,Developer,5,5,5,2,"Docker, Linux, Windows Server","Smalltalk, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, SQLite, Gemstone",Ninguna de las anteriores,"Vim, Visual Studio Code",11-50,Producto basado en Software,27
Provincia de Buenos Aires,Full-Time,106000,88000,Developer,2,0,0,0,Docker,"C#, HTML, Javascript, TypeScript","Angular, Bootstrap",Ninguna de las anteriores,Selenium,Visual Studio Code,501-1000,Servicios / Consultoría de Software / Digital,27
Ciudad Autónoma de Buenos Aires,Full-Time,106000,86000,Scrum Master,1,1,1,10,Linux,"C, C++, Java",React.js,MySQL,Jest,Eclipse,11-50,Servicios / Consultoría de Software / Digital,38
GBA,Full-Time,106000,81000,Analista aplicaciones,6,6,3,0,SAP,".NET, ABAP, C#, HTML, SQL",SAP,Ninguna de las anteriores,Ninguna de las anteriores,Notepad++,2001-5000,Otras industrias,30
Provincia de Buenos Aires,Full-Time,106000,88700,Developer,3.5,1.3,1.3,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript, Sass","Angular, Cordova, Solr",Informix,Karma,"Visual Studio, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,39
Ciudad Autónoma de Buenos Aires,Full-Time,105581,,Developer,3,2,2,0,Docker,".NET, Bash/Shell, SQL",.NET Core,Microsoft SQL Server,"NUnit, Postman","Notepad++, Visual Studio",51-100,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,105391,88284,SysAdmin / DevOps / SRE,9,2,2,0,"Azure, Linux, VMWare, Windows Server","Bash/Shell, Python, Powershell",Ninguno de los anteriores,Ninguna de las anteriores,Selenium,"IPython / Jupyter, Nano, Notepad++, Vi, Visual Studio Code",10001+,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,105100,87200,analista funcional,20,7,13,0,Ninguna de las anteriores,".NET, C#, SQL",Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,Visual Studio,201-500,Servicios / Consultoría de Software / Digital,43
Ciudad Autónoma de Buenos Aires,Full-Time,105000,83000,Technical Leader,10,1,0,3,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",Vue.js,IBM Db2,Ninguna de las anteriores,Visual Studio,11-50,Servicios / Consultoría de Software / Digital,43
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81000,Scrum Master,15,15,0,0,"Docker, Linux, OpenStack, Solaris, VMWare, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,2001-5000,Otras industrias,38
Ciudad Autónoma de Buenos Aires,Full-Time,105000,80000,SysAdmin / DevOps / SRE,5,1,1,0,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,105000,87000,Business Analyst,9,9,9,0,Windows Server,".NET, SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Servicios / Consultoría de Software / Digital,37
Chaco,Tercerizado (trabajo a través de consultora o agencia),105000,82000,Project Manager,3,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,29
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,SysAdmin / DevOps / SRE,1,0,0,0,"Amazon Web Services, Docker, Linux","Bash/Shell, PHP, Python",Ninguno de los anteriores,"Amazon RDS/Aurora, MariaDB, MongoDB, MySQL",Ninguna de las anteriores,"Vim, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,investigacion,9,9,9,0,Ninguna de las anteriores,Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,38
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),105000,87000,META4,2,0,2,0,META4,LN4,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,35
Ciudad Autónoma de Buenos Aires,Part-Time,105000,76000,Developer,5,2,2,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux",".NET, Bash/Shell, C#, Javascript",".NET Core, Angular, Node.js, React.js","ElasticSearch, Microsoft SQL Server, MongoDB, Redis","Mocha, Postman, SoapUI","Sublime Text, Visual Studio, Visual Studio Code",11-50,Producto basado en Software,23
Ciudad Autónoma de Buenos Aires,Full-Time,105000,87000,Business Analyst,5,0,3,0,Amazon Web Services,Ninguno de los anteriores,Ninguno de los anteriores,"MySQL, PostgreSQL",Postman,Ninguno de los anteriores,51-100,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,105000,82000,Developer,3,2,2,0,Linux,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery, Laravel, React.js","MongoDB, MySQL","PHPUnit, Postman","PHPStorm, Visual Studio Code",501-1000,Servicios / Consultoría de Software / Digital,27
Ciudad Autónoma de Buenos Aires,Full-Time,105000,90000,QA / Tester,4,3,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Postman,Sublime Text,1001-2000,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,Developer,2,0,0,0,Linux,"CSS, HTML, Java, Javascript, PHP, SQL","Bootstrap, Hibernate, jQuery, Spring","Microsoft SQL Server, MySQL",Ninguna de las anteriores,NetBeans,51-100,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,105000,,Consultant,1,1,1,0,Ninguna de las anteriores,Matlab,Ninguno de los anteriores,Microsoft Access,Ninguna de las anteriores,Visual Studio Code,1001-2000,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81000,Developer,7,2,2,0,Ninguna de las anteriores,Genexus,Ninguno de los anteriores,IBM Db2,"Postman, SoapUI",Ninguno de los anteriores,11-50,Producto basado en Software,27
Ciudad Autónoma de Buenos Aires,Full-Time,105000,87000,Developer,4,1,1,0,"Azure, Firebase","Javascript, TypeScript","Angular, Ionic",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,101-200,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81876,Developer,6,0,0,0,"Docker, Linux","CSS, HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Hibernate, Spring, Spring Boot",MySQL,"JUnit, Postman, SoapUI","Eclipse, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,Developer,0,0,0,0,"Amazon Web Services, Docker, Linux, Serverless",Javascript,Node.js,MongoDB,Jest,Visual Studio Code,10001+,Producto basado en Software,24
Provincia de Buenos Aires,Full-Time,105000,89000,Developer,5,2,2,0,Azure,".NET, C#, CSS, HTML, Javascript, TypeScript",".NET Core, Angular, Bootstrap, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,"Sublime Text, Visual Studio, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,33
Ciudad Autónoma de Buenos Aires,Full-Time,105000,90000,Technical Leader,15,15,5,3,"VMWare, Windows Server",".NET, Genexus",".NET Core, Genexus","Microsoft SQL Server, Oracle",Ninguna de las anteriores,Genexus,101-200,Servicios / Consultoría de Software / Digital,40
Santa Cruz,Full-Time,105000,95000,Project Manager / Sorpote a Gerencia IT / Consultor IT,3,3,1,0,SAP,SQL,SAP,"HANA, Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,101-200,Otras industrias,37
Córdoba,Tercerizado (trabajo a través de consultora o agencia),105000,81000,Project Manager,6,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,101-200,Servicios / Consultoría de Software / Digital,35
Ciudad Autónoma de Buenos Aires,Full-Time,105000,83000,Developer,22,4,4,0,Oracle,"HTML, Javascript, SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Notepad++,10001+,Otras industrias,44
Córdoba,Full-Time,105000,85000,BI Analyst / Data Analyst,3,0,2,0,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Ninguno de los anteriores,2001-5000,Otras industrias,29
Ciudad Autónoma de Buenos Aires,Full-Time,105000,90000,SysAdmin / DevOps / SRE,9,9,5,0,"Amazon Web Services, Azure, Docker, IBM Cloud / Watson, Linux, SAP, VMWare, Windows Server",".NET, Bash/Shell, C#, HTML, Java, PHP, Python, SQL","Bootstrap, Drupal, Laravel, SAP, TensorFlow, WordPress","Amazon DynamoDB, Amazon RDS/Aurora, HANA, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, Oracle, Percona Server, PostgreSQL, Redis, Sybase",Ninguna de las anteriores,"Eclipse, NetBeans, Notepad++, Vi, Vim, Visual Studio, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,35
GBA,Full-Time,105000,81000,Developer,9,3,3,1,Salesforce,"Javascript, APEX",Lightning,Salesforce,JUnit,Visual Studio Code,101-200,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81000,Recruiter / HR,7,1.5,1.5,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Producto basado en Software,29
Santa Fe,Full-Time,105000,82000,QA / Tester,6,1,5,0,"Linux, VMWare","Java, Javascript",Ninguno de los anteriores,Ninguna de las anteriores,Selenium,"IntelliJ, Notepad++",201-500,Servicios / Consultoría de Software / Digital,27
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81000,Developer,1,0,1,0,Linux,"HTML, Javascript",React.js,Ninguna de las anteriores,Jest,Visual Studio Code,10001+,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,105000,83000,Developer,1,0,0,0,"Docker, Linux, OpenShift","CSS, HTML, Java, Javascript, SQL","Bootstrap, Hibernate, React.js, Spring","MySQL, Oracle, PostgreSQL",JUnit,"Eclipse, IntelliJ, Sublime Text, Visual Studio Code",501-1000,Producto basado en Software,33
Mendoza,Full-Time,105000,85000,Developer,3,2,2,0,"Amazon Web Services, Firebase","CSS, HTML, Javascript, TypeScript","Node.js, React.js","Google Cloud Storage, MongoDB",Ninguna de las anteriores,Visual Studio Code,51-100,Producto basado en Software,33
Provincia de Buenos Aires,Remoto (empresa de otro país),105000,,Data Scientist,0,0,0,0,"Azure, Docker, Heroku, Linux","Python, R, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,"IPython / Jupyter, RStudio, Sublime Text",11-50,Otras industrias,29
Ciudad Autónoma de Buenos Aires,Full-Time,105000,72000,BI Analyst / Data Analyst,12,4,4,0,Ninguna de las anteriores,"Python, SQL",SSIS,"Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,Visual Studio,101-200,Otras industrias,39
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,Developer,0,0,0,0,"Azure, Docker, Linux",".NET, C#, Javascript",".NET Core, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB",Mocha,"Sublime Text, Visual Studio Code",11-50,Producto basado en Software,22
Tucumán,Full-Time,105000,85000,SysAdmin / DevOps / SRE,4,2,4,2,"VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,30
Ciudad Autónoma de Buenos Aires,Full-Time,105000,91000,SysAdmin / DevOps / SRE,7,1,1,2,"Docker, Google Cloud Platform/App Engine, Kubernetes, Linux","Bash/Shell, Javascript, Python",Django,"ElasticSearch, MariaDB, MySQL, PostgreSQL, SQLite","Postman, Selenium","Notepad++, PyCharm, Vi, Vim",51-100,Servicios / Consultoría de Software / Digital,26
Ciudad Autónoma de Buenos Aires,Part-Time,105000,82000,Developer,2,2,2,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux","CSS, HTML, Javascript, SQL","Angular, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, Redis",Mocha,Sublime Text,11-50,Producto basado en Software,23
Ciudad Autónoma de Buenos Aires,Full-Time,105000,81000,Business Analyst,4,2,2,0,Core Bancario,SQL,jQuery,MySQL,OpenQA,Visual Studio,51-100,Otras industrias,32
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,Business Analyst,20,21,6,5,"Linux, Solaris","C, C++, C#",Propias de C/C++,Oracle,SoapUI,Visual Studio Code,10001+,Otras industrias,45
Ciudad Autónoma de Buenos Aires,Full-Time,105000,75000,Technical Leader,20,5,5,7,"AIX, Amazon Web Services, Azure, Google Cloud Platform/App Engine, Linux, Windows Server","C++, C#, HTML, Javascript, SQL",Bootstrap,MySQL,Ninguna de las anteriores,"NetBeans, Notepad++, Vi, Vim, Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,42
Provincia de Buenos Aires,Full-Time,105000,86000,Business Analyst,8,2,2,0,"Serverless, Ninguna de las anteriores",".NET, C#, Swift",.NET Core,"Informix, Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,101-200,Otras industrias,34
Ciudad Autónoma de Buenos Aires,Full-Time,105000,92000,Developer,5,0,0,0,"Azure, SAP",".NET, C#, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery","Microsoft SQL Server, Oracle",Selenium,"Notepad++, Visual Studio, Visual Studio Code",10001+,Otras industrias,28
Ciudad Autónoma de Buenos Aires,Full-Time,105000,90000,Networking,10,10,7,0,"Arduino o similar, Linux, Microcontroladores, Windows Server","Assembler, Bash/Shell, C, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Vi, Vim",5001-10000,Servicios / Consultoría de Software / Digital,46
Ciudad Autónoma de Buenos Aires,Full-Time,105000,85000,QA / Tester,5,1,5,0,Ninguna de las anteriores,Java,SELENIUM,MySQL,Selenium,"Android Studio, IntelliJ",1001-2000,Producto basado en Software,30
Provincia de Buenos Aires,Full-Time,105000,87000,Developer,1,1,1,0,"Amazon Web Services, Linux, Windows Server","Javascript, PHP, Python",jQuery,"Amazon RDS/Aurora, MySQL",Ninguna de las anteriores,"Sublime Text, Visual Studio Code",201-500,Otras industrias,29
Provincia de Buenos Aires,Full-Time,105000,85000,QA / Tester,5,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Producto basado en Software,34
Provincia de Buenos Aires,Full-Time,105000,90000,Developer,6,0,1,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Eclipse,201-500,Otras industrias,35
Córdoba,Full-Time,105000,84000,HelpDesk,15,2,2,0,"VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MongoDB, MySQL, Ninguna de las anteriores",Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,36
Ciudad Autónoma de Buenos Aires,Full-Time,105000,75000,Analista,2,0,0,0,Linux,"CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, Ionic",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,21
Santa Fe,Full-Time,105000,90000,Developer,1,0,0,0,Ninguna de las anteriores,.NET,".NET Core, Angular",Microsoft SQL Server,Jest,Visual Studio,201-500,Otras industrias,22
Ciudad Autónoma de Buenos Aires,Full-Time,104836,84917,BI Analyst / Data Analyst,4,10,1,0,Azure,SQL,Hadoop,"Microsoft SQL Server, Teradata",Ninguna de las anteriores,"Notepad++, Sublime Text, Visual Studio, Visual Studio Code",10001+,Otras industrias,33
,Full-Time,104237,77440,SysAdmin / DevOps / SRE,9,2,6,0,"*BSD, Docker, Kubernetes, Linux, VMWare","Bash/Shell, HTML, Java, Javascript, PHP, Python, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, MongoDB, MySQL, SQLite",Ninguna de las anteriores,"Vi, Vim",11-50,Servicios / Consultoría de Software / Digital,29
Ciudad Autónoma de Buenos Aires,Part-Time,104187,85145,Developer,1,1,1,0,Linux,"Bash/Shell, Java, Python",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,"Eclipse, Visual Studio Code",101-200,Producto basado en Software,20
Provincia de Buenos Aires,Full-Time,104000,86000,Developer,9,4,4,0,Linux,"Java, Javascript","Angular, Bootstrap, Cordova, Spring","PostgreSQL, SQLite",JUnit,"Eclipse, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,39
Córdoba,Full-Time,104000,83000,DBA,10,7,7,0,"AIX, HP-UX, Linux, VMWare, Windows Server","Bash/Shell, Java, SQL",Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, Oracle",Ninguna de las anteriores,"Vi, Vim",5001-10000,Otras industrias,35
Ciudad Autónoma de Buenos Aires,Full-Time,104000,84000,Developer,1,0,0,0,"Amazon Web Services, Docker, Kubernetes, Linux","CSS, HTML, Javascript","Bootstrap, Node.js",MySQL,Postman,Visual Studio Code,51-100,Servicios / Consultoría de Software / Digital,23
Ciudad Autónoma de Buenos Aires,Full-Time,104000,83000,SysAdmin / DevOps / SRE,12,0,0,0,"Amazon Web Services, Azure, Linux, OpenStack, VMWare, Windows Server","Bash/Shell, Python, Powershell",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Vi, Vim, Powershell ISE",2001-5000,Otras industrias,34
GBA,Full-Time,104000,86000,Developer,2,0,0,2,"Docker, OpenShift","HTML, Java, Javascript, SQL","Hibernate, React.js, Spring",Oracle,"JUnit, Postman","IntelliJ, Sublime Text, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,18
Ciudad Autónoma de Buenos Aires,Full-Time,104000,85000,Developer,2,2,0,0,Linux,"Bash/Shell, HTML, Java, Javascript, Python, SQL","Bootstrap, Django, jQuery",MySQL,Ninguna de las anteriores,"Android Studio, IPython / Jupyter, PyCharm",11-50,Servicios / Consultoría de Software / Digital,26
Provincia de Buenos Aires,Full-Time,104000,77000,Manager / Director,23,23,23,3,"Linux, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL","Angular, jQuery, Node.js","MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,"Nano, Notepad++",1001-2000,Otras industrias,59
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),104000,83000,Architect,20,10,10,0,"Azure, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,10001+,Otras industrias,43
GBA,Full-Time,104000,84000,Developer,1.5,1.5,1.5,1,Ninguna de las anteriores,".NET, Javascript",".NET Core, React.js",MySQL,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",201-500,Producto basado en Software,24
Ciudad Autónoma de Buenos Aires,Full-Time,103877,81145,Functional Analyst,10,3,5,0,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP, Python, SQL","Flask, WordPress","MongoDB, MySQL",Ninguna de las anteriores,"Notepad++, PyCharm",501-1000,Otras industrias,31
GBA,Full-Time,103876,82073,Developer,3,1,3,0,Docker,"CSS, HTML, Javascript","React.js, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,23
Ciudad Autónoma de Buenos Aires,Full-Time,103853,76688,Developer,2,1,1,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Go, Java, Python",Spring,"MySQL, PostgreSQL",JUnit,"IntelliJ, PyCharm, Visual Studio Code",10001+,Producto basado en Software,26
Provincia de Buenos Aires,Full-Time,103772,80706,Architect,7,7,2,1,"Amazon Web Services, Serverless, Windows Server",".NET, HTML, Java, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, Cordova, jQuery, Node.js","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server",Cypress,"Android Studio, Visual Studio, Visual Studio Code",11-50,Producto basado en Software,29
Ciudad Autónoma de Buenos Aires,Full-Time,103615,96512,SysAdmin / DevOps / SRE,8,1,5,0,"Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Vi, Vim",2001-5000,Producto basado en Software,32
Tucumán,Full-Time,103500,83500,Developer,5,3,3,0,"Amazon Web Services, Docker, Kubernetes, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery, Node.js, React.js","Amazon DynamoDB, Microsoft SQL Server",Jest,"Visual Studio, Visual Studio Code",101-200,Producto basado en Software,33
Ciudad Autónoma de Buenos Aires,Full-Time,103494,85890,Developer,21,2.5,2.5,0,"VMWare, Windows Server",".NET, C#, HTML, Javascript, SQL, VBA, Visual Basic 6",".NET Core, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Sublime Text, Visual Studio, VB",51-100,Producto basado en Software,43
Ciudad Autónoma de Buenos Aires,Full-Time,103400,75000,Developer,2,0,2,0,"Docker, Linux",Scala,"Akka, React.js",MySQL,Selenium,IntelliJ,101-200,Servicios / Consultoría de Software / Digital,27
Ciudad Autónoma de Buenos Aires,Full-Time,103315,85751,Developer,1,10,1,0,"Linux, VMWare","C++, HTML, Javascript, PHP, SQL","Bootstrap, jQuery","MariaDB, MongoDB, MySQL",Ninguna de las anteriores,Sublime Text,101-200,Otras industrias,34
Ciudad Autónoma de Buenos Aires,Full-Time,103254,83000,SysAdmin / DevOps / SRE,6,5,3,0,"Azure, Linux, VMWare, Windows Server","Bash/Shell, PHP, Python",Ninguno de los anteriores,Microsoft SQL Server,CEBOS,Ninguno de los anteriores,201-500,Otras industrias,25
,Full-Time,103156,64705,Architect,8,3,2,1,"Amazon Web Services, Azure, Linux, OpenStack, VMWare, Cisco, Fortinet, Huawei, VMware NSX, pfSense (Networking).",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,Ninguno de los anteriores,51-100,Servicios / Consultoría de Software / Digital,25
Ciudad Autónoma de Buenos Aires,Full-Time,103000,90000,VP / C-Level,5,3,3,6,"Docker, Google Cloud Platform/App Engine, Kubernetes","CSS, HTML, Javascript, Kotlin, TypeScript","Hibernate, Node.js, React.js, Spring","ElasticSearch, Google Cloud Storage, PostgreSQL","JUnit, Postman","IntelliJ, PyCharm, WebStorm",11-50,Producto basado en Software,26
Ciudad Autónoma de Buenos Aires,Full-Time,103000,85500,Developer,3,0,0,0,Azure,"CSS, HTML, Javascript","Angular, Cordova, Node.js, React.js, Vue.js",Microsoft SQL Server,Ninguna de las anteriores,"Android Studio, Visual Studio Code",11-50,Producto basado en Software,25
Córdoba,Full-Time,103000,95000,Developer,7,1,1,4,"Amazon Web Services, Docker, Firebase, Google Cloud Platform/App Engine, Linux","CSS, HTML, Javascript, Ruby, SQL, TypeScript","Bootstrap, jQuery, Node.js, Rails, React.js","MongoDB, MySQL, PostgreSQL, SQLite","Jest, Puppeteer","Nano, Sublime Text, Vim, Visual Studio Code",11-50,Producto basado en Software,32
Ciudad Autónoma de Buenos Aires,Full-Time,103000,82400,QA / Tester,6,0,6,0,"Linux, VMWare",Javascript,Ninguno de los anteriores,Oracle,"Jest, Postman, Selenium, SoapUI","Atom, Eclipse, IntelliJ, Notepad++, Visual Studio Code",501-1000,Servicios / Consultoría de Software / Digital,33
Provincia de Buenos Aires,Full-Time,103000,86000,Developer,5,0,0,0,Ninguna de las anteriores,"HTML, Java, Javascript, SQL","Angular, Hibernate, Node.js, Spring","Microsoft SQL Server, MySQL, Oracle","JUnit, Postman","Eclipse, Visual Studio Code",101-200,Servicios / Consultoría de Software / Digital,29
Santa Fe,Participación societaria en una cooperativa,103000,103000,Developer,3,2,2,0,"Docker, Linux","Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Node.js, Spring, micronaut","PostgreSQL, Redis",JUnit,"IntelliJ, Visual Studio Code",101-200,Producto basado en Software,26
GBA,Tercerizado (trabajo a través de consultora o agencia),103000,87771,Consultant,6,3,3,1,SAP,Ninguno de los anteriores,SAP,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Servicios / Consultoría de Software / Digital,28
Ciudad Autónoma de Buenos Aires,Full-Time,103000,80000,Data Scientist,2,2,2,0,Docker,"Python, SQL",Flask,Sybase,Ninguna,"IPython / Jupyter, Sublime Text",10001+,Otras industrias,31
Córdoba,Full-Time,103000,84535,Developer,2.5,2.5,2.5,2,"Amazon Web Services, Linux, Openbravo","HTML, Java, Javascript, SQL","Hibernate, jQuery",PostgreSQL,Ninguna de las anteriores,"Eclipse, Sublime Text, Visual Studio Code",11-50,Producto basado en Software,22
Ciudad Autónoma de Buenos Aires,Full-Time,103000,83,QA / Tester,1.5,1.5,1.5,0,Ninguna de las anteriores,"Groovy, Python",Ninguno de los anteriores,Ninguna de las anteriores,"Katalon, Postman, Selenium",PyCharm,101-200,Servicios / Consultoría de Software / Digital,29
GBA,Full-Time,103000,85000,Consultant,34,4,25,0,SAP,ABAP,SAP,Oracle,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Servicios / Consultoría de Software / Digital,60
